Author,title,source,video
VivianWu｜用戶流 x 商業流,"Weverse, Global Kpop Community Platform",https://www.rachelkimy.com/weverse,https://youtu.be/x3_M1q1JKiY?si=sD_C9hGyRkgki1UT
許小希 | 用戶流 x 數據流,UX Case Study: futu moomoo app redesign based on data,https://news.qq.com/rain/a/20240307A01ZA000,https://www.youtube.com/watch?v=jN6sQwVfwTk
陳小啾|UX.三刀流,Why are cars getting bigger and bigger?,https://uxdesign.cc/why-are-cars-getting-bigger-and-bigger-be6eee1a2a07,https://youtu.be/1Bb1AF5l9BA
陳心｜商業流x數據流,Flo’s Empathetic Design Hacks: Crafting Data-Driven Experiences for Female Health Apps,https://raw.studio/blog/flos-empathetic-design-hacks-crafting-data-driven-experiences-for-female-health-apps/,
陳蹦,Talk Ai: Ai Powered app | Case Study,https://www.behance.net/gallery/180130105/Talk-Ai-Ai-Powered-app-Case-Study,
"Chi,Yaling| 用戶流 ",ZOE Health: Skip the hefty price tag and even heftier life admin; I’ve done it for you.,https://medium.com/etc-health-research-design/zoe-health-skip-the-hefty-price-tag-and-even-heftier-life-admin-ive-done-it-for-you-0084c89451ee,https://youtu.be/FALO1C6g2j4
圍棋 | 用戶流,Solving everyday recipe dilemmas for users — A UI/UX case study,https://medium.com/@singhanjali201716/solving-everyday-recipe-dilemmas-for-users-a-ui-ux-case-study-27ca1e5e9f18,https://youtu.be/bpbbHR-zIpA
尋麻疹 ｜ 用戶流,停車場繳費機,https://docs.google.com/presentation/d/15x5jloMbEf829qou2e-lfwvYRY-MR1h8/edit?usp=sharing&ouid=103174718265664321431&rtpof=true&sd=true,
然來了 | 用戶流 x 商業流,Musa App UI UX Case Study,,
陽光 | 用戶流,UI/UX Case Study : Increase Work Productivity and Efficiency by Implementing E-Office Applications,https://medium.com/design-bootcamp/ui-ux-case-study-increase-work-productivity-and-efficiency-by-implementing-e-office-applications-ad5ebef9a72f,
嗨囉｜用戶流 ✕ 商業流,Messaging Application — UI/UX Case Study: LINE App Redesign,https://medium.com/@nerissaarvnas30/messaging-application-ui-ux-case-study-line-app-redesign-1aa2ddaed848,
槍槍｜用戶流 x 商業流,Splitwise Case Study,https://medium.com/@Praveenkumar.D/splitwise-case-study-a6c663005b91,https://youtu.be/Gmr5GBm7BQ8
蟲蟲 | 用戶流 x 商業流,Case Study: Thuraa website for Local Artist and Designer Marketplace,https://medium.com/@jumana21152/case-study-thuraa-website-for-local-artist-and-designer-marketplace-23275be5b4ec,https://youtu.be/17gNUTkFpPQ
